lyrics,sargam,label
राम का गुणगान करिये,Sa Re Na Dha Mat Re,true
राम का गुणगान करिये,rak gak s nak pa gak,true
राम का गुणगान करिये,ra ga rk na dak ga,true
राम का गुणगान करिये,gak ma r s da ma,true
राम का गुणगान करिये,ga mat gk rk nak mat,true
राम का गुणगान करिये,ma pa g r na pa,true
राम का गुणगान करिये,mat dak m gk s dak,true
राम का गुणगान करिये,pa da mt g rk da,true
राम का गुणगान करिये,dak nak p m r nak,true
राम का गुणगान करिये,da na dk mt gk na,true
राम का गुणगान करिये,nak s d p g s,true
राम का गुणगान करिये,na rk nk dk m rk,true
राम का गुणगान करिये,s r n d mt r,true
राम का गुणगान करिये,rk gk su nk p gk,true
राम का गुणगान करिये,r g ruk n dk g,true
राम का गुणगान करिये,gk m ru su d m,true
राम का गुणगान करिये,g mt guk ruk nk mt,true
राम का गुणगान करिये,m p gu ru n p,true
राम का गुणगान करिये,mt dk mu guk su dk,true
राम का गुणगान करिये,p d mut gu ruk d,true
राम का गुणगान करिये,dk nk pu mu ru nk,true
राम का गुणगान करिये,d n duk mut guk n,true
राम का गुणगान करिये,nk su du pu gu su,true
राम का गुणगान करिये,n ruk nuk duk mu ruk,true
राम का गुणगान करिये,su ru nu du mut ru,true
अच्युतं केशवं कृष्ण दामोदरंर,Sa Re Ga Ga Ma Ga Re Sa Re Re Ga Re,true
अच्युतं केशवं कृष्ण दामोदरंर,rak gak ma ma mat ma gak rak gak gak ma gak,true
अच्युतं केशवं कृष्ण दामोदरंर,ra ga mat mat pa mat ga ra ga ga mat ga,true
अच्युतं केशवं कृष्ण दामोदरंर,gak ma pa pa dak pa ma gak ma ma pa ma,true
अच्युतं केशवं कृष्ण दामोदरंर,ga mat dak dak da dak mat ga mat mat dak mat,true
अच्युतं केशवं कृष्ण दामोदरंर,ma pa da da nak da pa ma pa pa da pa,true
अच्युतं केशवं कृष्ण दामोदरंर,mat dak nak nak na nak dak mat dak dak nak dak,true
अच्युतं केशवं कृष्ण दामोदरंर,pa da na na s na da pa da da na da,true
अच्युतं केशवं कृष्ण दामोदरंर,dak nak s s rk s nak dak nak nak s nak,true
अच्युतं केशवं कृष्ण दामोदरंर,da na rk rk r rk na da na na rk na,true
अच्युतं केशवं कृष्ण दामोदरंर,nak s r r gk r s nak s s r s,true
अच्युतं केशवं कृष्ण दामोदरंर,na rk gk gk g gk rk na rk rk gk rk,true
अच्युतं केशवं कृष्ण दामोदरंर,s r g g m g r s r r g r,true
अच्युतं केशवं कृष्ण दामोदरंर,rk gk m m mt m gk rk gk gk m gk,true
अच्युतं केशवं कृष्ण दामोदरंर,r g mt mt p mt g r g g mt g,true
अच्युतं केशवं कृष्ण दामोदरंर,gk m p p dk p m gk m m p m,true
अच्युतं केशवं कृष्ण दामोदरंर,g mt dk dk d dk mt g mt mt dk mt,true
अच्युतं केशवं कृष्ण दामोदरंर,m p d d nk d p m p p d p,true
अच्युतं केशवं कृष्ण दामोदरंर,mt dk nk nk n nk dk mt dk dk nk dk,true
अच्युतं केशवं कृष्ण दामोदरंर,p d n n su n d p d d n d,true
अच्युतं केशवं कृष्ण दामोदरंर,dk nk su su ruk su nk dk nk nk su nk,true
अच्युतं केशवं कृष्ण दामोदरंर,d n ruk ruk ru ruk n d n n ruk n,true
अच्युतं केशवं कृष्ण दामोदरंर,nk su ru ru guk ru su nk su su ru su,true
अच्युतं केशवं कृष्ण दामोदरंर,n ruk guk guk gu guk ruk n ruk ruk guk ruk,true
अच्युतं केशवं कृष्ण दामोदरंर,su ru gu gu mu gu ru su ru ru gu ru,true
अच्युतं केशवं कृष्ण दामोदरंर,ruk guk mu mu mut mu guk ruk guk guk mu guk,true
अच्युतं केशवं कृष्ण दामोदरंर,ru gu mut mut pu mut gu ru gu gu mut gu,true
अच्युतं केशवं कृष्ण दामोदरंर,guk mu pu pu duk pu mu guk mu mu pu mu,true
अच्युतं केशवं कृष्ण दामोदरंर,gu mut duk duk du duk mut gu mut mut duk mut,true
अच्युतं केशवं कृष्ण दामोदरंर,mu pu du du nuk du pu mu pu pu du pu,true
अच्युतं केशवं कृष्ण दामोदरंर,mut duk nuk nuk nu nuk duk mut duk duk nuk duk,true
"हरे कृष्ण, हरे कृष्ण, कृष्ण कृष्ण ",Ga Ga Ma Ma Ga Re Ga Ga Re Sa Re Re,true
हे शारदे माँ  हे शारदे माँ,gak gak gak ma ma gak rak rak rak rak gak gak rak sa,true
हे शारदे माँ  हे शारदे माँ,ga ga ga mat mat ga ra ra ra ra ga ga ra rak,true
हे शारदे माँ  हे शारदे माँ,ma ma ma pa pa ma gak gak gak gak ma ma gak ra,true
हे शारदे माँ  हे शारदे माँ,mat mat mat dak dak mat ga ga ga ga mat mat ga gak,true
हे शारदे माँ  हे शारदे माँ,Pa Pa Pa Dha Dha Pa Ma  Ma Ma MaPa PaMa Ga,true
हे शारदे माँ  हे शारदे माँ,dak dak dak nak nak dak mat mat mat mat dak dak mat ma,true
हे शारदे माँ  हे शारदे माँ,da da da na na da pa pa pa pa da da pa mat,true
हे शारदे माँ  हे शारदे माँ,nak nak nak s s nak dak dak dak dak nak nak dak pa,true
हे शारदे माँ  हे शारदे माँ,na na na rk rk na da da da da na na da dak,true
हे शारदे माँ  हे शारदे माँ,s s s r r s nak nak nak nak s s nak da,true
हे शारदे माँ  हे शारदे माँ,rk rk rk gk gk rk na na na na rk rk na nak,true
हे शारदे माँ  हे शारदे माँ,r r r g g r s s s s r r s na,true
